Wall time,Step,Value
1593221536.1236484,1,3.715757131576538
1593221730.7544153,101,0.9278738498687744
1593221891.4299695,201,0.5248724818229675
1593222052.7788553,301,0.267878919839859
1593222214.075216,401,0.276414155960083
1593222375.5819566,501,0.3196410536766052
1593222536.6430235,601,0.41568365693092346
1593222697.9824684,701,0.4361150562763214
1593222859.1218646,801,0.2953721284866333
1593223020.5706751,901,0.36195847392082214
1593223181.0275354,1001,0.3568565249443054
1593223342.4227993,1101,0.32653841376304626
1593223502.9183471,1201,0.38939982652664185
1593223664.2066271,1301,0.4952675402164459
1593223826.224253,1401,0.45489656925201416
1593223987.3846693,1501,0.5370014309883118
1593224147.8418617,1601,0.4500983655452728
1593224308.5127409,1701,0.45987433195114136
1593224469.503663,1801,0.4490836560726166
1593224630.7435038,1901,0.4510023295879364
1593224791.6668198,2001,0.4847370684146881
1593224952.8742707,2101,0.518354058265686
1593225114.086306,2201,0.5125642418861389
1593225275.3570273,2301,0.4869912564754486
1593225436.16386,2401,0.4471884071826935
1593225597.3604212,2501,0.4477965831756592
1593225757.447094,2601,0.43230319023132324
1593225918.13098,2701,0.4964544177055359
1593226079.5646381,2801,0.38945242762565613
1593226239.9835815,2901,0.42950528860092163
1593226401.3130963,3001,0.3916541337966919
1593226561.2871103,3101,0.35255277156829834
1593226721.9520893,3201,0.38002103567123413
1593226882.928065,3301,0.4138617217540741
1593227043.6638591,3401,0.37488874793052673
1593227204.0811398,3501,0.39437785744667053
1593227365.0132937,3601,0.40543133020401
1593227525.4763138,3701,0.34325844049453735
1593227686.5073147,3801,0.3509923219680786
1593227847.3495033,3901,0.3480396568775177
1593228009.1181662,4001,0.366253137588501
1593228190.2982187,4101,0.368324875831604
1593228350.0313096,4201,0.32339611649513245
1593228511.0985813,4301,0.3427625000476837
1593228670.1862943,4401,0.34779104590415955
1593228828.8871431,4501,0.3038233518600464
1593228987.7569702,4601,0.31279024481773376
1593229147.1933486,4701,0.3308190405368805
1593229306.3205383,4801,0.2974911630153656
1593229465.4019346,4901,0.2928653359413147
1593229624.2984874,5001,0.28177544474601746
1593229783.7199366,5101,0.3372664749622345
1593229943.5240774,5201,0.2752350866794586
1593230102.8810492,5301,0.27532076835632324
1593230262.26944,5401,0.2950350046157837
1593230421.6754146,5501,0.2693745493888855
1593230580.319523,5601,0.2685290277004242
1593230738.7211242,5701,0.2638905942440033
1593230897.7325838,5801,0.29283663630485535
1593231057.036241,5901,0.2686656415462494
1593231216.0040529,6001,0.2768121659755707
1593231375.0750403,6101,0.24446190893650055
1593231534.1304383,6201,0.26781517267227173
1593231693.654356,6301,0.24168796837329865
1593231853.1709497,6401,0.24178999662399292
1593232012.374509,6501,0.25103700160980225
1593232171.2179666,6601,0.22916139662265778
1593232330.3634295,6701,0.2372300624847412
1593232489.2911112,6801,0.22668412327766418
1593232648.8386142,6901,0.22356770932674408
1593232808.1998913,7001,0.23413263261318207
1593232967.7637095,7101,0.24051102995872498
1593233126.4770584,7201,0.22977960109710693
